label,longitude,latitude,活蚊子数,死蚊子数,产卵数,幼虫数
279,121.446340531,31.038124607,0,0,10,0
280,121.445833148,31.037774588,1,3,80,20
281,121.448241524,31.03463122,0,0,0,0
282,121.445842324,31.033426307,0,0,0,0
283,121.446702569,31.032391404,0,0,0,0
284,121.447710011,31.033478432,1,0,0,0
285,121.446311621,31.032356677,0,0,0,0
286,121.445229745,31.033250725,0,0,0,0
287,121.444779232,31.033372619,0,0,0,0
288,121.446431549,31.033738016,0,0,12,0
289,121.446311742,31.033432418,0,0,0,0
290,121.447299159,31.033405207,0,0,0,0
291,121.447923565,31.033826876,0,0,0,0
292,121.445398396,31.032798753,0,0,0,0
293,121.44584301,31.033877298,0,0,29,0
294,121.447920308,31.03418049,0,0,0,0
295,121.446346364,31.032820309,0,0,0,0
296,121.448470463,31.03429374,0,0,19,0
297,121.448325844,31.033820878,3,0,19,0
298,121.445902887,31.032799094,0,0,0,0
299,121.445834924,31.03239315,0,0,0,0
300,121.445485536,31.032401703,0,0,0,0
301,121.451820142,31.037076872,0,0,0,0
321,121.446714476,31.026832805,0,0,0,0
